lakeid,year4,daynum,sampledate,sta,llevel_elevation
AL,1984,144,5/23/1984,1,494.446
AL,1984,157,6/5/1984,1,494.45
AL,1984,215,8/2/1984,1,494.446
AL,1984,289,10/15/1984,1,494.461
AL,1984,313,11/8/1984,1,494.498
AL,1985,120,4/30/1985,1,494.54
AL,1985,136,5/16/1985,1,494.244
AL,1985,148,5/28/1985,1,494.275
AL,1985,162,6/11/1985,1,494.32
AL,1985,175,6/24/1985,1,494.33
AL,1985,192,7/11/1985,1,494.32
AL,1985,204,7/23/1985,1,494.32
AL,1985,219,8/7/1985,1,494.397
AL,1985,231,8/19/1985,1,494.327
AL,1985,255,9/12/1985,1,494.357
AL,1985,273,9/30/1985,1,494.482
AL,1985,295,10/22/1985,1,494.494
AL,1985,315,11/11/1985,1,494.506
AL,1986,128,5/8/1986,1,494.54
AL,1986,140,5/20/1986,1,494.52
AL,1986,153,6/2/1986,1,494.26
AL,1986,169,6/18/1986,1,494.26
AL,1986,183,7/2/1986,1,494.27
AL,1986,197,7/16/1986,1,494.36
AL,1986,209,7/28/1986,1,494.42
AL,1986,225,8/13/1986,1,494.41
AL,1986,238,8/26/1986,1,494.41
AL,1986,253,9/10/1986,1,494.64
AL,1986,265,9/22/1986,1,494.72
AL,1986,282,10/9/1986,1,494.51
AL,1986,295,10/22/1986,1,494.56
AL,1986,307,11/3/1986,1,494.644
AL,1987,124,5/4/1987,1,494.032
AL,1987,138,5/18/1987,1,494.032
AL,1987,152,6/1/1987,1,494.053
AL,1987,162,6/11/1987,1,494.05
AL,1987,180,6/29/1987,1,494.029
AL,1987,194,7/13/1987,1,494.157
AL,1987,208,7/27/1987,1,494.084
AL,1987,225,8/13/1987,1,494.044
AL,1987,238,8/26/1987,1,494.029
AL,1987,253,9/10/1987,1,494.105
AL,1987,264,9/21/1987,1,494.187
AL,1987,294,10/21/1987,1,494.312
AL,1987,309,11/5/1987,1,494.334
AL,1987,322,11/18/1987,1,494.361
AL,1988,117,4/26/1988,1,494.283
AL,1988,130,5/9/1988,1,493.978
AL,1988,146,5/25/1988,1,493.972
AL,1988,159,6/7/1988,1,493.948
AL,1988,172,6/20/1988,1,493.954
AL,1988,186,7/4/1988,1,493.978
AL,1988,201,7/19/1988,1,494.094
AL,1988,216,8/3/1988,1,494.131
AL,1988,231,8/18/1988,1,494.143
AL,1988,257,9/13/1988,1,494.326
AL,1988,272,9/28/1988,1,494.375
AL,1988,286,10/12/1988,1,494.405
AL,1988,299,10/25/1988,1,494.424
AL,1989,121,5/1/1989,1,494.162
AL,1989,136,5/16/1989,1,494.169
AL,1989,149,5/29/1989,1,494.114
AL,1989,179,6/28/1989,1,494.15
AL,1989,193,7/12/1989,1,494.205
AL,1989,206,7/25/1989,1,494.217
AL,1989,219,8/7/1989,1,494.205
AL,1989,234,8/22/1989,1,494.236
AL,1989,249,9/6/1989,1,494.339
AL,1989,262,9/19/1989,1,494.388
AL,1989,277,10/4/1989,1,494.419
AL,1989,291,10/18/1989,1,494.419
AL,1989,304,10/31/1989,1,494.467
AL,1989,313,11/9/1989,1,494.443
AL,1990,120,4/30/1990,1,494.4
AL,1990,137,5/17/1990,1,494.412
AL,1990,150,5/30/1990,1,494.223
AL,1990,164,6/13/1990,1,494.113
AL,1990,178,6/27/1990,1,494.065
AL,1990,190,7/9/1990,1,494.052
AL,1990,205,7/24/1990,1,494.025
AL,1990,220,8/8/1990,1,494.022
AL,1990,234,8/22/1990,1,494.113
AL,1990,247,9/4/1990,1,494.141
AL,1990,261,9/18/1990,1,494.333
AL,1990,276,10/3/1990,1,494.385
AL,1990,290,10/17/1990,1,494.379
AL,1990,304,10/31/1990,1,494.333
AL,1990,313,11/9/1990,1,494.376
AL,1991,127,5/7/1991,1,494.135
AL,1991,141,5/21/1991,1,494.098
AL,1991,155,6/4/1991,1,494.129
AL,1991,169,6/18/1991,1,494.116
AL,1991,184,7/3/1991,1,494.159
AL,1991,196,7/15/1991,1,494.098
AL,1991,211,7/30/1991,1,494.11
AL,1991,225,8/13/1991,1,494.068
AL,1991,239,8/27/1991,1,494.104
AL,1991,253,9/10/1991,1,494.214
AL,1991,266,9/23/1991,1,494.324
AL,1991,282,10/9/1991,1,494.312
AL,1991,301,10/28/1991,1,494.312
AL,1992,126,5/5/1992,1,494.188
AL,1992,139,5/18/1992,1,494.143
AL,1992,153,6/1/1992,1,494.063
AL,1992,171,6/19/1992,1,494.051
AL,1992,189,7/7/1992,1,494.106
AL,1992,197,7/15/1992,1,494.088
AL,1992,211,7/29/1992,1,494.344
AL,1992,225,8/12/1992,1,494.161
AL,1992,239,8/26/1992,1,494.077
AL,1992,255,9/11/1992,1,494.077
AL,1992,265,9/21/1992,1,494.169
AL,1992,280,10/6/1992,1,494.168
AL,1992,295,10/21/1992,1,494.288
AL,1992,311,11/6/1992,1,494.333
AL,1993,123,5/3/1993,1,494.245
AL,1993,137,5/17/1993,1,494.159
