"lakename","stationlat","stationlong","lakearea","watershedarea","season","category","variable","n.obvs","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","NA's"
"Allequash Lake",46.038,-89.621,1.642,21.5102,"iceon","1-meta","daynum",806,8,24,55,52.65,81,94,0
"Allequash Lake",46.038,-89.621,1.642,21.5102,"iceon","1-meta","daynum_wateryr",806,99,115,146,143.7,172,185,0
"Allequash Lake",46.038,-89.621,1.642,21.5102,"iceon","1-meta","depth",806,0,1.5,3,3.258,5,7.2,0
"Allequash Lake",46.038,-89.621,1.642,21.5102,"iceon","1-meta","maxdepth_t",806,7.372,7.416,7.46,7.508,7.593,7.924,0
"Allequash Lake",46.038,-89.621,1.642,21.5102,"iceon","2-chem","DIN",210,30,109.2,202,253.6,346.2,881,596
"Allequash Lake",46.038,-89.621,1.642,21.5102,"iceon","2-chem","DON",209,-381,79,160,168.4,221,806,597
"Allequash Lake",46.038,-89.621,1.642,21.5102,"iceon","2-chem","NH4N",213,0,51,96,162.5,239,875,593
"Allequash Lake",46.038,-89.621,1.642,21.5102,"iceon","2-chem","NO3N",213,3,31,56,91.81,116,587,593
"Allequash Lake",46.038,-89.621,1.642,21.5102,"iceon","2-chem","TDN",217,0,244,409,423.1,560,1380,589
"Allequash Lake",46.038,-89.621,1.642,21.5102,"iceon","2-chem","TDP",217,0,6,9,16.41,19,141,589
"Allequash Lake",46.038,-89.621,1.642,21.5102,"iceon","2-chem","TN",217,101,276,418,448.1,555,1605,589
"Allequash Lake",46.038,-89.621,1.642,21.5102,"iceon","2-chem","TP",217,0,9,12,24.84,26,225,589
"Allequash Lake",46.038,-89.621,1.642,21.5102,"iceon","3-phys","o2",558,0,3.5,7.6,6.711,10,13.9,248
"Allequash Lake",46.038,-89.621,1.642,21.5102,"iceon","3-phys","wtemp",558,-1,1.9,3,2.826,4,5.6,248
"Big Musky Lake",46.021,-89.612,3.634,3.9974,"iceon","1-meta","daynum",1381,6,18,54,51.74,83,106,0
"Big Musky Lake",46.021,-89.612,3.634,3.9974,"iceon","1-meta","daynum_wateryr",1381,97,109,145,142.7,174,197,0
"Big Musky Lake",46.021,-89.612,3.634,3.9974,"iceon","1-meta","depth",1381,0,4,9,9.37,14,19,0
"Big Musky Lake",46.021,-89.612,3.634,3.9974,"iceon","1-meta","maxdepth_t",1381,19.26,19.99,20.25,20.15,20.47,20.8,0
"Big Musky Lake",46.021,-89.612,3.634,3.9974,"iceon","2-chem","DIN",204,20,103.8,169,303,449,1580,1177
"Big Musky Lake",46.021,-89.612,3.634,3.9974,"iceon","2-chem","DON",202,-249,212.5,279,300.6,369.8,1040,1179
