"","lakestaday","upper.bound","lower.bound"
"1","Allequash Lake 1 1985-08-19",2,5.8
"2","Allequash Lake 1 1985-10-22",1.5,5.33333333333333
"3","Allequash Lake 1 1985-08-07",1,5.33333333333333
"4","Allequash Lake 1 1985-11-11",2,5.8
"5","Allequash Lake 1 1985-09-12",2.5,6
"6","Allequash Lake 1 1985-09-30",2,5.8
"7","Allequash Lake 1 1985-05-28",1.5,6
"8","Allequash Lake 1 1985-06-11",3,6.33333333333333
"9","Allequash Lake 1 1985-01-07",1,5.5
"10","Allequash Lake 1 1985-02-25",1,6
"11","Allequash Lake 1 1985-07-23",2,5.33333333333333
"12","Allequash Lake 1 1985-04-30",1.5,4.33333333333333
"13","Allequash Lake 1 1985-05-16",1.5,5.33333333333333
"14","Allequash Lake 1 1985-06-24",1,6
"15","Allequash Lake 1 1985-07-11",2.5,5.33333333333333
"16","Allequash Lake 1 1986-06-18",1.5,6
"17","Allequash Lake 1 1986-08-13",3,6
"18","Allequash Lake 1 1986-07-16",1.5,6
"19","Allequash Lake 1 1986-03-31",2.5,6
"20","Allequash Lake 1 1986-10-09",2,5.8
"21","Allequash Lake 1 1986-04-24",1,6
"22","Allequash Lake 1 1986-01-16",2.5,6
"23","Allequash Lake 1 1986-03-03",2,5.8
"24","Allequash Lake 1 1986-05-20",2.5,6
"25","Allequash Lake 1 1986-09-10",2.5,5.8
"26","Allequash Lake 1 1986-11-03",2,5.8
"27","Allequash Lake 1 1987-10-05",2,5.8
"28","Allequash Lake 1 1987-03-19",1,5.33333333333333
"29","Allequash Lake 1 1987-07-13",2.5,6
"30","Allequash Lake 1 1987-05-18",2,6
"31","Allequash Lake 1 1987-02-24",1,6
"32","Allequash Lake 1 1987-09-10",3,6
"33","Allequash Lake 1 1987-01-20",1,5.33333333333333
"34","Allequash Lake 1 1987-11-05",2,5.8
"35","Allequash Lake 1 1987-04-15",3,6
"36","Allequash Lake 1 1987-06-11",2.5,5.33333333333333
"37","Allequash Lake 1 1987-08-13",2,6
"38","Allequash Lake 1 1988-07-19",2.5,6
"39","Allequash Lake 1 1988-01-11",1,6
"40","Allequash Lake 1 1988-09-13",2,5.8
"41","Allequash Lake 1 1988-03-02",2,5.8
"42","Allequash Lake 1 1988-05-25",1,5
"43","Allequash Lake 1 1988-08-18",2,6
"44","Allequash Lake 1 1988-04-26",2.5,5.8
"45","Allequash Lake 1 1988-03-21",1,6
"46","Allequash Lake 1 1988-11-02",2,6
"47","Allequash Lake 1 1988-10-12",2,5.8
"48","Allequash Lake 1 1988-06-20",3,5.33333333333333
"49","Allequash Lake 1 1989-10-18",2,5.8
"50","Allequash Lake 1 1989-11-09",2,5.8
"51","Allequash Lake 1 1989-08-22",2,6
"52","Allequash Lake 1 1989-01-11",1,6
"53","Allequash Lake 1 1989-05-29",2.5,6
"54","Allequash Lake 1 1989-07-25",1,5
"55","Allequash Lake 1 1989-05-01",3,5.8
"56","Allequash Lake 1 1989-03-06",1,6
"57","Allequash Lake 1 1989-06-28",1,5.5
"58","Allequash Lake 1 1989-03-27",1,4
"59","Allequash Lake 1 1989-09-19",2,6
"60","Allequash Lake 1 1990-09-18",2,6
"61","Allequash Lake 1 1990-05-30",1,3.33333333333333
"62","Allequash Lake 1 1990-01-24",1,6
"63","Allequash Lake 1 1990-10-17",2,5.8
"64","Allequash Lake 1 1990-02-27",1,6
"65","Allequash Lake 1 1990-07-24",2,6
"66","Allequash Lake 1 1990-03-27",1,6
"67","Allequash Lake 1 1990-06-27",1,5.33333333333333
"68","Allequash Lake 1 1990-11-09",2,5.8
"69","Allequash Lake 1 1990-04-30",2,5.33333333333333
"70","Allequash Lake 1 1990-08-22",1,6
"71","Allequash Lake 1 1991-05-07",2,5.8
"72","Allequash Lake 1 1991-08-27",3,6
"73","Allequash Lake 1 1991-06-04",1,4
"74","Allequash Lake 1 1991-03-25",1,6
"75","Allequash Lake 1 1991-09-23",3,6.33333333333333
"76","Allequash Lake 1 1991-01-17",2.5,5.33333333333333
"77","Allequash Lake 1 1991-02-19",1,6
"78","Allequash Lake 1 1991-07-03",1,4
"79","Allequash Lake 1 1991-10-28",1.5,6
"80","Allequash Lake 1 1991-07-30",1,5
"81","Allequash Lake 1 1992-05-05",2.16666666666667,5.8
"82","Allequash Lake 1 1992-11-06",2,5.8
"83","Allequash Lake 1 1992-08-26",2,6
"84","Allequash Lake 1 1992-01-17",1,5.33333333333333
"85","Allequash Lake 1 1992-10-21",2,5.8
"86","Allequash Lake 1 1992-09-21",1,5.8
"87","Allequash Lake 1 1992-06-01",1,5
"88","Allequash Lake 1 1992-07-29",2.5,5.33333333333333
"89","Allequash Lake 1 1992-07-07",2,6
"90","Allequash Lake 1 1992-03-04",1,6
"91","Allequash Lake 1 1992-03-23",1,6
"92","Allequash Lake 1 1993-08-26",3,6
"93","Allequash Lake 1 1993-05-03",2,6
"94","Allequash Lake 1 1993-01-08",1,5.8
"95","Allequash Lake 1 1993-09-22",2,5.8
"96","Allequash Lake 1 1993-03-23",1,5.33333333333333
"97","Allequash Lake 1 1993-06-04",1,5.5
"98","Allequash Lake 1 1993-07-26",2,6
"99","Allequash Lake 1 1993-02-23",1,6
"100","Allequash Lake 1 1993-06-30",2.5,6
"101","Allequash Lake 1 1993-10-21",2,5.8
"102","Allequash Lake 1 1993-11-03",2,5.8
"103","Allequash Lake 1 1994-05-03",2.5,5.33333333333333
"104","Allequash Lake 1 1994-03-29",1,6
"105","Allequash Lake 1 1994-06-27",1,4
"106","Allequash Lake 1 1994-06-06",1,5
"107","Allequash Lake 1 1994-09-21",3,5.33333333333333
"108","Allequash Lake 1 1994-08-25",2,6
"109","Allequash Lake 1 1994-01-10",1,6
"110","Allequash Lake 1 1994-10-17",2.5,6
"111","Allequash Lake 1 1994-02-22",1,6
"112","Allequash Lake 1 1994-07-27",1,6
"113","Allequash Lake 1 1994-11-17",1.5,5.8
"114","Allequash Lake 1 1995-07-26",1,5
"115","Allequash Lake 1 1995-02-21",1,5.33333333333333
"116","Allequash Lake 1 1995-01-11",1,6
"117","Allequash Lake 1 1995-09-18",2,6
"118","Allequash Lake 1 1995-08-21",2,6
"119","Allequash Lake 1 1995-10-16",2,5.8
"120","Allequash Lake 1 1995-05-30",1,5
"121","Allequash Lake 1 1995-05-01",3,5.33333333333333
"122","Allequash Lake 1 1995-06-26",1,3.33333333333333
"123","Allequash Lake 1 1995-12-14",1.83333333333333,5.33333333333333
"124","Allequash Lake 1 1996-01-16",1,5.8
"125","Allequash Lake 1 1996-02-20",2,6
"126","Allequash Lake 1 1996-08-08",1,4.5
"127","Allequash Lake 1 1996-09-03",3,5.33333333333333
"128","Allequash Lake 1 1996-07-11",1,5
"129","Allequash Lake 1 1996-04-08",2,6
"130","Allequash Lake 1 1996-05-14",2.5,5.8
"131","Allequash Lake 1 1996-11-04",1,5.8
"132","Allequash Lake 1 1996-06-12",1,4
"133","Allequash Lake 1 1996-10-02",2,5.8
"134","Allequash Lake 1 1997-05-13",1,5.33333333333333
"135","Allequash Lake 1 1997-09-25",2,5.8
"136","Allequash Lake 1 1997-06-03",1,4.66666666666667
"137","Allequash Lake 1 1997-03-19",1,6
"138","Allequash Lake 1 1997-11-07",2,5.8
"139","Allequash Lake 1 1997-07-31",1,5
"140","Allequash Lake 1 1997-01-20",1,5.7
"141","Allequash Lake 1 1997-07-02",1,5
"142","Allequash Lake 1 1997-10-20",2,5.8
"143","Allequash Lake 1 1997-02-26",1,6
"144","Allequash Lake 1 1997-08-27",3,6
"145","Allequash Lake 1 1998-09-09",3.5,7
"146","Allequash Lake 1 1998-05-18",1,4.5
"147","Allequash Lake 1 1998-10-05",2,6
"148","Allequash Lake 1 1998-02-24",1,6
"149","Allequash Lake 1 1998-07-13",1,4
"150","Allequash Lake 1 1998-03-16",1,6
"151","Allequash Lake 1 1998-11-04",2,5.8
"152","Allequash Lake 1 1998-01-19",1,5.8
"153","Allequash Lake 1 1998-06-17",2,6
"154","Allequash Lake 1 1998-04-22",2,5.33333333333333
"155","Allequash Lake 1 1998-08-11",1,6
"156","Allequash Lake 1 1999-09-22",1,5.5
"157","Allequash Lake 1 1999-02-25",1,5.33333333333333
"158","Allequash Lake 1 1999-07-28",1,4
"159","Allequash Lake 1 1999-10-19",2,5.8
"160","Allequash Lake 1 1999-01-21",1,5.33333333333333
"161","Allequash Lake 1 1999-05-06",1,5
"162","Allequash Lake 1 1999-06-28",1,4
"163","Allequash Lake 1 1999-06-04",1,5.5
"164","Allequash Lake 1 1999-03-23",1,6
"165","Allequash Lake 1 1999-08-26",1,6
"166","Allequash Lake 1 1999-11-05",1.5,5.8
"167","Allequash Lake 1 2000-05-04",3,5.33333333333333
"168","Allequash Lake 1 2000-06-02",2,6
"169","Allequash Lake 1 2000-06-29",1.5,6
"170","Allequash Lake 1 2000-07-24",2,6
"171","Allequash Lake 1 2000-09-19",2,6
"172","Allequash Lake 1 2000-08-23",2.5,6
"173","Allequash Lake 1 2000-02-24",1,5.33333333333333
"174","Allequash Lake 1 2000-01-26",1,5.33333333333333
"175","Allequash Lake 1 2000-10-16",1.5,6
"176","Allequash Lake 1 2000-04-03",1.5,5.8
"177","Allequash Lake 1 2000-11-15",2,5.8
"178","Allequash Lake 1 2001-08-23",3,6
"179","Allequash Lake 1 2001-01-26",1,6
"180","Allequash Lake 1 2001-06-25",1,5
"181","Allequash Lake 1 2001-07-23",1,4.5
"182","Allequash Lake 1 2001-05-01",2.5,6
"183","Allequash Lake 1 2001-10-15",2,5.8
"184","Allequash Lake 1 2001-03-02",1,5.33333333333333
"185","Allequash Lake 1 2001-04-02",1,5.33333333333333
"186","Allequash Lake 1 2001-11-14",1,5.8
"187","Allequash Lake 1 2001-05-29",2.5,6
"188","Allequash Lake 1 2001-09-17",2,6
"189","Allequash Lake 1 2002-11-04",1.5,5.8
"190","Allequash Lake 1 2002-10-09",2,5.8
"191","Allequash Lake 1 2002-09-09",3,6
"192","Allequash Lake 1 2002-01-23",1,6
"193","Allequash Lake 1 2002-08-14",2,5.33333333333333
"194","Allequash Lake 1 2002-04-23",1,5.33333333333333
"195","Allequash Lake 1 2002-05-20",1.5,5.8
"196","Allequash Lake 1 2002-03-05",1,6
"197","Allequash Lake 1 2002-07-16",1,4
"198","Allequash Lake 1 2002-04-04",1,6
"199","Allequash Lake 1 2002-06-17",2.5,5.33333333333333
"200","Allequash Lake 1 2003-08-18",1,6
"201","Allequash Lake 1 2003-04-30",1,5.33333333333333
"202","Allequash Lake 1 2003-09-17",2.5,5.33333333333333
"203","Allequash Lake 1 2003-02-26",1,5.33333333333333
"204","Allequash Lake 1 2003-05-29",3,5.33333333333333
"205","Allequash Lake 1 2003-07-23",2,5.33333333333333
"206","Allequash Lake 1 2003-01-24",1,5.33333333333333
"207","Allequash Lake 1 2003-06-23",1,4
"208","Allequash Lake 1 2003-10-13",2.5,5.33333333333333
"209","Allequash Lake 1 2003-11-19",2.5,5.8
"210","Allequash Lake 1 2004-03-31",1,5.8
"211","Allequash Lake 1 2004-05-24",2.5,7
"212","Allequash Lake 1 2004-02-19",1,6
"213","Allequash Lake 1 2004-09-10",2.5,6
"214","Allequash Lake 1 2004-08-16",3,6
"215","Allequash Lake 1 2004-04-27",1.5,5.33333333333333
"216","Allequash Lake 1 2004-06-21",3,6
"217","Allequash Lake 1 2004-10-11",1,6
"218","Allequash Lake 1 2004-01-14",1,6
"219","Allequash Lake 1 2004-07-22",1,5
"220","Allequash Lake 1 2004-11-09",2,5.8
"221","Allequash Lake 1 2005-01-10",1,6
"222","Allequash Lake 1 2005-08-08",1,6
"223","Allequash Lake 1 2005-02-23",1,5.8
"224","Allequash Lake 1 2005-07-11",1,6
"225","Allequash Lake 1 2005-04-19",2.5,5.33333333333333
"226","Allequash Lake 1 2005-04-01",1,6
"227","Allequash Lake 1 2005-05-16",2,5.8
"228","Allequash Lake 1 2005-09-06",3,5.8
"229","Allequash Lake 1 2005-06-14",1,5
"230","Allequash Lake 1 2005-10-03",3,6
"231","Allequash Lake 1 2005-11-08",1.5,5.8
"232","Allequash Lake 1 2006-09-05",3,6
"233","Allequash Lake 1 2006-10-31",2.5,5.8
"234","Allequash Lake 1 2006-03-28",1,5.33333333333333
"235","Allequash Lake 1 2006-10-04",2.5,6
"236","Allequash Lake 1 2006-07-11",2,5.33333333333333
"237","Allequash Lake 1 2006-04-20",3,5.33333333333333
"238","Allequash Lake 1 2006-02-27",1,6
"239","Allequash Lake 1 2006-01-10",1,6
"240","Allequash Lake 1 2006-06-12",2.5,5.33333333333333
"241","Allequash Lake 1 2006-08-09",2,6
"242","Allequash Lake 1 2006-05-16",1.83333333333333,6
"243","Allequash Lake 1 2007-08-15",2,6
"244","Allequash Lake 1 2007-04-23",2,6
"245","Allequash Lake 1 2007-09-10",2,6
"246","Allequash Lake 1 2007-02-23",1,5.8
"247","Allequash Lake 1 2007-01-24",1,5.33333333333333
"248","Allequash Lake 1 2007-06-19",1.5,6
"249","Allequash Lake 1 2007-05-21",1,5.5
"250","Allequash Lake 1 2007-07-16",1,6
"251","Allequash Lake 1 2007-03-26",1.5,6
"252","Allequash Lake 1 2007-11-08",2,5.875
"253","Allequash Lake 1 2007-10-08",2,5.8
"254","Allequash Lake 1 2008-03-03",1,5.33333333333333
"255","Allequash Lake 1 2008-03-25",1,5.33333333333333
"256","Allequash Lake 1 2008-06-02",1.5,5.33333333333333
"257","Allequash Lake 1 2008-05-08",2,5.33333333333333
"258","Allequash Lake 1 2008-01-15",1,5.33333333333333
"259","Allequash Lake 1 2008-07-28",1.5,6
"260","Allequash Lake 1 2008-08-25",2,6
"261","Allequash Lake 1 2008-06-30",1,5.33333333333333
"262","Allequash Lake 1 2008-09-22",2,6
"263","Allequash Lake 1 2008-10-20",2,5.8
"264","Allequash Lake 1 2008-11-06",2.5,6
"265","Allequash Lake 1 2009-07-21",1,4.5
"266","Allequash Lake 1 2009-02-23",1,6
"267","Allequash Lake 1 2009-08-19",1,5
"268","Allequash Lake 1 2009-10-14",2.16666666666667,6
"269","Allequash Lake 1 2009-03-17",1,5.33333333333333
"270","Allequash Lake 1 2009-04-27",2,5.8
"271","Allequash Lake 1 2009-09-14",1,3.33333333333333
"272","Allequash Lake 1 2009-05-26",2,6
"273","Allequash Lake 1 2009-01-20",1,5.8
"274","Allequash Lake 1 2009-11-09",1.5,5.8
"275","Allequash Lake 1 2009-06-22",1,3.33333333333333
"276","Allequash Lake 1 2010-08-31",1,5
"277","Allequash Lake 1 2010-05-12",2.5,5.8
"278","Allequash Lake 1 2010-09-29",2,5.8
"279","Allequash Lake 1 2010-11-10",2,5.33333333333333
"280","Allequash Lake 1 2010-03-22",3,5.8
"281","Allequash Lake 1 2010-04-12",3,6
"282","Allequash Lake 1 2010-10-28",2,5.8
"283","Allequash Lake 1 2010-01-19",1,6
"284","Allequash Lake 1 2010-06-07",1,4
"285","Allequash Lake 1 2010-08-02",2,6
"286","Allequash Lake 1 2010-02-16",1,6
"287","Allequash Lake 1 2010-07-08",1,5
"288","Allequash Lake 1 2011-08-22",2,6
"289","Allequash Lake 1 2011-05-02",1,5.8
"290","Allequash Lake 1 2011-09-19",2,5.8
"291","Allequash Lake 1 2011-06-27",2,6
"292","Allequash Lake 1 2011-03-16",1,5.875
"293","Allequash Lake 1 2011-01-19",1,6
"294","Allequash Lake 1 2011-05-31",1.5,6
"295","Allequash Lake 1 2011-10-17",2,5.8
"296","Allequash Lake 1 2011-02-15",1,6
"297","Allequash Lake 1 2011-07-25",1,4
"298","Allequash Lake 1 2011-11-11",2,5.8
"299","Allequash Lake 1 2012-02-23",1,5.33333333333333
"300","Allequash Lake 1 2012-04-03",1.83333333333333,5.33333333333333
"301","Allequash Lake 1 2012-05-29",2,6
"302","Allequash Lake 1 2012-04-30",2.5,5.33333333333333
"303","Allequash Lake 1 2012-01-16",1,5.33333333333333
"304","Allequash Lake 1 2012-06-26",1,6
"305","Allequash Lake 1 2012-11-09",2,5.8
"306","Allequash Lake 1 2012-09-19",2,5.8
"307","Allequash Lake 1 2012-08-20",1.5,6
"308","Allequash Lake 1 2012-10-18",1,5.8
"309","Allequash Lake 1 2012-07-25",2,5.33333333333333
"310","Allequash Lake 1 2013-07-11",1,5
"311","Allequash Lake 1 2013-10-01",3,7
"312","Allequash Lake 1 2013-11-07",1.5,5.8
"313","Allequash Lake 1 2013-08-07",2.5,6
"314","Allequash Lake 1 2013-02-25",1,6
"315","Allequash Lake 1 2013-05-14",1,5.33333333333333
"316","Allequash Lake 1 2013-01-25",1,6
"317","Allequash Lake 1 2013-09-03",2.5,5.33333333333333
"318","Allequash Lake 1 2013-03-27",1.5,5.8
"319","Allequash Lake 1 2013-06-10",1,5
"320","Allequash Lake 1 2013-10-30",2.5,5.8
"321","Big Musky Lake 1 1982-05-11",4,15
"322","Big Musky Lake 1 1982-09-21",6,13.3333333333333
"323","Big Musky Lake 1 1982-10-06",7.25,15
"324","Big Musky Lake 1 1982-10-18",5,17.5
"325","Big Musky Lake 1 1982-08-05",5,9.5
"326","Big Musky Lake 1 1982-05-25",1,7
"327","Big Musky Lake 1 1982-09-08",7.5,12
"328","Big Musky Lake 1 1982-06-21",5,9.33333333333333
"329","Big Musky Lake 1 1982-07-08",5,8
"330","Big Musky Lake 1 1982-07-21",6,8.33333333333333
"331","Big Musky Lake 1 1982-11-09",6,15.7692307692308
"332","Big Musky Lake 1 1982-08-18",5,9
"333","Big Musky Lake 1 1982-06-09",4.5,8
"334","Big Musky Lake 1 1983-02-17",1,17.5
"335","Big Musky Lake 1 1983-03-23",1,16.2307692307692
"336","Big Musky Lake 1 1983-05-26",4.5,9.33333333333333
"337","Big Musky Lake 1 1983-05-10",6.5,13.3333333333333
"338","Big Musky Lake 1 1983-09-28",7,13
"339","Big Musky Lake 1 1983-10-17",4,18
"340","Big Musky Lake 1 1983-08-02",3,8
"341","Big Musky Lake 1 1983-08-17",6.5,9.33333333333333
"342","Big Musky Lake 1 1983-09-07",4,10
