"lakename","stationlat","stationlong","lakearea","watershedarea","n.yrs","max_d_max","variable","n.obvs","surface_Min.","surface_1st Qu.","surface_Median","surface_Mean","surface_3rd Qu.","surface_Max.","surface_Missing"
"Allequash Lake",46.038,-89.621,1.642,21.5102,25,7.92399999999998,"NO3N",71,6,32,40,55.65,56,587,128
"Allequash Lake",46.038,-89.621,1.642,21.5102,25,7.92399999999998,"NH4N",71,0,46,59.5,70.49,77,293,127
"Allequash Lake",46.038,-89.621,1.642,21.5102,25,7.92399999999998,"DIN",71,41,85,100,126.5,137,880,128
"Allequash Lake",46.038,-89.621,1.642,21.5102,25,7.92399999999998,"TDP",71,0,4,6,6.071,8,17,127
"Allequash Lake",46.038,-89.621,1.642,21.5102,25,7.92399999999998,"o2",71,4.1,9.5,10.3,10.22,11.1,13.9,51
"Big Musky Lake",46.021,-89.612,3.634,3.9974,24,20.802,"NO3N",70,2,21,30,49.03,47.5,429,102
"Big Musky Lake",46.021,-89.612,3.634,3.9974,24,20.802,"NH4N",70,0,53,69,82.35,99,302,100
"Big Musky Lake",46.021,-89.612,3.634,3.9974,24,20.802,"DIN",70,20,74.5,100,128,136.5,573,102
"Big Musky Lake",46.021,-89.612,3.634,3.9974,24,20.802,"TDP",70,0,3,5,5.275,7,22,100
"Big Musky Lake",46.021,-89.612,3.634,3.9974,24,20.802,"o2",70,9.2,12.4,13.5,13.42,14.4,17.2,0
"Crystal Lake",46.003,-89.612,0.375,0.8625,23,20.2139999999999,"NO3N",67,0,4,9.5,33.27,24.5,311,85
"Crystal Lake",46.003,-89.612,0.375,0.8625,23,20.2139999999999,"NH4N",67,0,18,32,57.66,62,337,84
"Crystal Lake",46.003,-89.612,0.375,0.8625,23,20.2139999999999,"DIN",67,9,24.75,37.5,90.5,82.25,648,85
"Crystal Lake",46.003,-89.612,0.375,0.8625,23,20.2139999999999,"TDP",67,0,1,3,3.866,4,45,82
"Crystal Lake",46.003,-89.612,0.375,0.8625,23,20.2139999999999,"o2",67,8.5,12.6,13.7,13.82,15.1,19.7,0
"Sparkling Lake",46.008,-89.701,0.637,1.4014,25,19.787,"NO3N",73,0,9,18.5,37.35,49.75,170,88
"Sparkling Lake",46.008,-89.701,0.637,1.4014,25,19.787,"NH4N",73,0,17.75,27.5,45.93,55.25,208,88
"Sparkling Lake",46.008,-89.701,0.637,1.4014,25,19.787,"DIN",73,6,33.75,67,83.28,100.2,310,88
"Sparkling Lake",46.008,-89.701,0.637,1.4014,25,19.787,"TDP",73,0,2,3,3.753,5,14,87
"Sparkling Lake",46.008,-89.701,0.637,1.4014,25,19.787,"o2",73,10,12.08,13.3,13.35,14.52,19.7,0
"Trout Lake",46.029,-89.665,15.651,46.953,27,35.608,"NO3N",79,2,43.5,55,68.53,67,611,175
"Trout Lake",46.029,-89.665,15.651,46.953,27,35.608,"NH4N",79,0,7,14,28.99,28,474,174
"Trout Lake",46.029,-89.665,15.651,46.953,27,35.608,"DIN",79,15,58.25,67.5,97.78,96.75,1085,175
"Trout Lake",46.029,-89.665,15.651,46.953,27,35.608,"TDP",79,0,0,3,3.013,4,14,174
"Trout Lake",46.029,-89.665,15.651,46.953,27,35.608,"o2",79,9.1,12.2,12.8,12.83,13.3,16.1,0
