"","lakestaday","layerbound","grad_range","UMLbottom","deltad"
"1","AL 1 1981-04-23",7.5,-Inf,NA,NA
"2","AL 1 1981-05-22",3.33333333333333,5.5,3.33333333333333,-1.55
"3","AL 1 1981-06-03",3,6,3,-3.2
"4","AL 1 1981-06-17",7.3,-Inf,NA,NA
"5","AL 1 1981-07-02",3.66666666666667,5.8,3.66666666666667,-3.2
"6","AL 1 1981-07-16",8,-Inf,NA,NA
"7","AL 1 1981-07-28",5,7.7,5,-4.1
"8","AL 1 1981-08-12",7.5,-Inf,NA,NA
"9","AL 1 1981-08-27",4,9.6,4,-3.7
"10","AL 1 1981-09-12",7.5,-Inf,NA,NA
"11","AL 1 1981-09-26",8,-Inf,NA,NA
"12","AL 1 1981-10-22",3,0,3,0
"13","AL 1 1982-01-26",5,7.4,5,-2.5
"14","AL 1 1982-02-23",4,6.8,4,-2.4
"15","AL 1 1982-04-05",2.33333333333333,8.2,2.33333333333333,-2.2
"16","AL 1 1982-05-11",5,9,5,-4.7
"17","AL 1 1982-05-25",5,9.1,5,-4.4
"18","AL 1 1982-06-09",5,6.5,5,-2.6
"19","AL 1 1982-06-25",7,-Inf,NA,NA
"20","AL 1 1982-07-05",4.33333333333333,9,4.33333333333333,-7.6
"21","AL 1 1982-07-21",5,8.6,5,-4.9
"22","AL 1 1982-08-05",4.33333333333333,9.2,4.33333333333333,-7.4
"23","AL 1 1982-08-16",7,-Inf,NA,NA
"24","AL 1 1982-09-08",4.66666666666667,7,4.66666666666667,-2.3
"25","AL 1 1982-09-21",3,0.2,3,-0.100000000000001
"26","AL 1 1982-10-05",4,2.4,4,-1.3
"27","AL 1 1982-10-22",2.83333333333333,0.0999999999999996,2.83333333333333,-0.0999999999999996
"28","AL 1 1982-11-08",2.75,0.6,2.75,-0.299999999999999
"29","AL 1 1982-11-30",2.33333333333333,2.5,2.33333333333333,-2.3
"30","AL 1 1983-01-17",5,8.2,5,-2.7
"31","AL 1 1983-02-18",4.33333333333333,7.6,4.33333333333333,-1.5
"32","AL 1 1983-03-23",2,11.4,2,-3.4
"33","AL 1 1983-05-10",4,3.5,4,-1.3
"34","AL 1 1983-05-25",2.66666666666667,9.6,2.66666666666667,-9.2
"35","AL 1 1983-06-08",5,6.1,5,-3.8
"36","AL 1 1983-06-22",5,9.2,5,-4.7
"37","AL 1 1983-07-05",5,7.9,5,-4.6
"38","AL 1 1983-07-20",4,8.1,4,-5.6
"39","AL 1 1983-08-04",4,8.7,4,-7.3
"40","AL 1 1983-08-15",5,9.4,5,-4.3
"41","AL 1 1983-09-09",4,8.1,4,-3.8
"42","AL 1 1983-09-29",3.66666666666667,5.3,3.66666666666667,-2.1
"43","AL 1 1983-10-18",3,0.0999999999999996,3,-0.0999999999999996
"44","AL 1 1983-11-16",2.33333333333333,0.4,2.33333333333333,-0.199999999999999
"45","AL 1 1984-01-06",4.66666666666667,7.3,4.66666666666667,-2.2
"46","AL 1 1984-02-29",4,9.5,4,-2.6
"47","AL 1 1984-04-03",2.33333333333333,8.7,2.33333333333333,-2.2
